11.12.2020 22:11:17.176 [main] INFO   com.sanchoo.elevator.entity.building.OfficeBuilding - Starting elevators and generation of people on the floors in office building '957ca5a1-6379-4566-84c7-a59a4091c92b'
11.12.2020 22:11:17.182 [main] INFO   com.sanchoo.elevator.entity.building.OfficeBuilding - Elevators and generation of people on the floors in office building '957ca5a1-6379-4566-84c7-a59a4091c92b' are started
11.12.2020 22:11:17.186 [floor-9] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [], Down: []
11.12.2020 22:11:17.187 [elevator-1] INFO   com.sanchoo.elevator.entity.elevator.Elevator - Waiting call...
11.12.2020 22:11:17.187 [elevator-5] INFO   com.sanchoo.elevator.entity.elevator.Elevator - Waiting call...
11.12.2020 22:11:17.187 [elevator-3] INFO   com.sanchoo.elevator.entity.elevator.Elevator - Waiting call...
11.12.2020 22:11:17.186 [floor-4] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [], Down: []
11.12.2020 22:11:17.189 [floor-2] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [], Down: [Person{weight=103, floor=1}, Person{weight=38, floor=1}, Person{weight=89, floor=1}, Person{weight=113, floor=1}]
11.12.2020 22:11:17.187 [elevator-4] INFO   com.sanchoo.elevator.entity.elevator.Elevator - Waiting call...
11.12.2020 22:11:17.187 [elevator-2] INFO   com.sanchoo.elevator.entity.elevator.Elevator - Waiting call...
11.12.2020 22:11:17.189 [floor-3] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [Person{weight=56, floor=5}], Down: [Person{weight=99, floor=2}, Person{weight=23, floor=1}]
11.12.2020 22:11:17.189 [floor-8] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [Person{weight=104, floor=9}, Person{weight=98, floor=9}, Person{weight=88, floor=9}, Person{weight=103, floor=9}], Down: []
11.12.2020 22:11:17.189 [floor-2] INFO   com.sanchoo.elevator.service.implementation.CallingElevatorServiceImpl - Put: CallingElevator{floor=2, mode=DOWN, isCallProcessed=false}
11.12.2020 22:11:17.190 [floor-3] INFO   com.sanchoo.elevator.service.implementation.CallingElevatorServiceImpl - Put: CallingElevator{floor=3, mode=UP, isCallProcessed=false}
11.12.2020 22:11:17.190 [floor-7] INFO   com.sanchoo.elevator.entity.floor.Floor - Up: [Person{weight=33, floor=9}, Person{weight=111, floor=9}, Person{weight=67, floor=10}], Down: [Person{weight=87, floor=2}, Person{weight=55, floor=6}, Person{weight=38, floor=4}, Person{weight=29, floor=2}, Person{weight=68, floor=2}]
